,Trial,Phase,Cue
0,1,Learning,Geschwister
1,2,Learning,Helm
2,3,Learning,Zug
3,4,Learning,Vampir
4,5,Learning,Nudeln
5,6,Learning,Golf
6,7,Learning,Rauch
7,8,Learning,Frieden
8,9,Learning,Raum
9,10,Learning,Zunge
10,11,Learning,AnfÃ¼hrer
11,12,Learning,Chips
12,13,Learning,Mauer
13,14,Learning,Flotte
14,15,Learning,KÃ¶nigreich
15,16,Learning,Zahnpasta
16,17,Learning,Schnorchel
17,18,Learning,Teller
18,19,Learning,SchlÃ¼ssel
19,20,Learning,Schwan
20,21,Learning,Mappe
21,22,Learning,Beweis
22,23,Learning,Juwel
23,24,Learning,Gegenstand
24,25,Learning,Safari
25,26,Learning,Shampoo
26,27,Learning,Surfen
27,28,Learning,KÃ¼che
28,29,Learning,Service
29,30,Learning,Eingeweide
30,31,Learning,Traube
31,32,Learning,Garage
32,33,Learning,Winkel
33,34,Learning,Tee
34,35,Learning,Soldat
35,36,Learning,Leistung
36,37,Learning,Blumen
37,38,Learning,Beutel
38,39,Learning,Klebstoff
39,40,Learning,Statue
40,41,Learning,Definition
41,42,Learning,Rasen
42,43,Learning,Akrobatin
43,44,Learning,Humor
44,45,Learning,Vogel
45,46,Learning,Zeichnung
46,47,Learning,Zimt
47,48,Learning,Teleskop
48,49,Learning,Karneval
49,50,Learning,Experiment
50,51,Learning,Agent
51,52,Learning,Insel
52,53,Learning,Wasserfall
53,54,Learning,Kastanien
54,55,Learning,Gast
55,56,Learning,Scheidung
56,57,Learning,Bad
57,58,Learning,Bar
58,59,Learning,Publikum
59,60,Learning,HÃ¤ftling
60,61,Learning,Decke
61,62,Learning,Brise
62,63,Learning,Diskussion
63,64,Learning,Streifen
64,65,Learning,Kamin
65,66,Learning,Pumpe
66,67,Learning,Floh
67,68,Learning,TÃ¤nzer
68,69,Learning,Wein
69,70,Learning,Fakt
70,71,Learning,Kino
71,72,Learning,Vers
72,73,Learning,Tradition
73,74,Learning,Vergangenheit
74,75,Learning,Schauspielerin
75,76,Learning,Schuh
76,77,Learning,Sitzgurt
77,78,Learning,Kind
78,79,Learning,Kante
79,80,Learning,Geburtstag
80,1,Recall,Gast
81,2,Recall,Shampoo
82,3,Recall,Floh
83,4,Recall,Brise
84,5,Recall,Safari
85,6,Recall,Traube
86,7,Recall,Schuh
87,8,Recall,Schnorchel
88,9,Recall,Mauer
89,10,Recall,Rasen
90,11,Recall,Geburtstag
91,12,Recall,Klebstoff
92,13,Recall,Golf
93,14,Recall,Kind
94,15,Recall,Kante
95,16,Recall,Wein
96,17,Recall,Garage
97,18,Recall,Decke
98,19,Recall,KÃ¶nigreich
99,20,Recall,Pumpe
100,21,Recall,Kastanien
101,22,Recall,Tradition
102,23,Recall,Geschwister
103,24,Recall,Nudeln
104,25,Recall,Helm
105,26,Recall,Akrobatin
106,27,Recall,AnfÃ¼hrer
107,28,Recall,Tee
108,29,Recall,Service
109,30,Recall,Schauspielerin
110,31,Recall,Chips
111,32,Recall,Teleskop
112,33,Recall,KÃ¼che
113,34,Recall,Kino
114,35,Recall,Beutel
115,36,Recall,SchlÃ¼ssel
116,37,Recall,Raum
117,38,Recall,Vergangenheit
118,39,Recall,Flotte
119,40,Recall,Experiment
120,41,Recall,Frieden
121,42,Recall,Schwan
122,43,Recall,Blumen
123,44,Recall,Surfen
124,45,Recall,Soldat
125,46,Recall,Beweis
126,47,Recall,Mappe
127,48,Recall,Diskussion
128,49,Recall,Juwel
129,50,Recall,Sitzgurt
130,51,Recall,Rauch
131,52,Recall,Streifen
132,53,Recall,Bar
133,54,Recall,HÃ¤ftling
134,55,Recall,Agent
135,56,Recall,Zahnpasta
136,57,Recall,Teller
137,58,Recall,Bad
138,59,Recall,Wasserfall
139,60,Recall,Vogel
140,61,Recall,Karneval
141,62,Recall,Definition
142,63,Recall,Eingeweide
143,64,Recall,Zunge
144,65,Recall,Leistung
145,66,Recall,Vers
146,67,Recall,TÃ¤nzer
147,68,Recall,Gegenstand
148,69,Recall,Humor
149,70,Recall,Zeichnung
150,71,Recall,Fakt
151,72,Recall,Insel
152,73,Recall,Zug
153,74,Recall,Publikum
154,75,Recall,Statue
155,76,Recall,Scheidung
156,77,Recall,Vampir
157,78,Recall,Zimt
158,79,Recall,Winkel
159,80,Recall,Kamin
