trial_type,PID,Guess,Guess,Read,Read,Diff
corr_recalled,,False,True,False,True,
0,P1029,0.2125,0.2875,0.3625,0.1375,0.14999999999999997
1,P1167,0.1875,0.3125,0.3125,0.1875,0.125
2,P1228,0.1875,0.3125,0.225,0.275,0.03749999999999998
3,P1269,0.3,0.2,0.25,0.25,-0.04999999999999999
4,P1311,0.2875,0.2125,0.375,0.125,0.0875
5,P1771,0.0625,0.4375,0.25,0.25,0.1875
6,P2172,0.2875,0.2125,0.3125,0.1875,0.024999999999999994
7,P2264,0.175,0.325,0.25,0.25,0.07500000000000001
8,P2389,0.1625,0.3375,0.325,0.175,0.16250000000000003
9,P2405,0.0875,0.4125,0.275,0.225,0.18749999999999997
10,P2594,0.2,0.3,0.375,0.125,0.175
11,P3084,0.2125,0.2875,0.3125,0.1875,0.09999999999999998
12,P3098,0.15,0.35,0.3375,0.1625,0.18749999999999997
13,P3141,0.125,0.375,0.1375,0.3625,0.012500000000000011
14,P4110,0.275,0.225,0.325,0.175,0.05000000000000002
15,P4215,0.2875,0.2125,0.3125,0.1875,0.024999999999999994
16,P4660,0.075,0.425,0.1375,0.3625,0.0625
17,P4954,0.2125,0.2875,0.325,0.175,0.11249999999999999
18,P5613,0.15,0.35,0.275,0.225,0.12499999999999997
19,P5720,0.3125,0.1875,0.3125,0.1875,0.0
20,P5848,0.0625,0.4375,0.225,0.275,0.16249999999999998
21,P5900,0.3,0.2,0.35,0.15,0.05000000000000002
22,P5968,0.225,0.275,0.25,0.25,0.025000000000000022
23,P6039,0.2875,0.2125,0.275,0.225,-0.012500000000000011
24,P6113,0.1875,0.3125,0.35,0.15,0.1625
25,P6532,0.2,0.3,0.1625,0.3375,-0.03750000000000003
26,P6896,0.225,0.275,0.35,0.15,0.12500000000000003
27,P7228,0.1375,0.3625,0.25,0.25,0.11249999999999999
28,P7382,0.1,0.4,0.2125,0.2875,0.11250000000000004
29,P7465,0.25,0.25,0.375,0.125,0.125
30,P8424,0.1125,0.3875,0.2875,0.2125,0.17500000000000002
31,P8452,0.2375,0.2625,0.375,0.125,0.1375
32,P8752,0.0875,0.4125,0.1625,0.3375,0.07499999999999996
33,P8823,0.0625,0.4375,0.1125,0.3875,0.04999999999999999
34,P9210,0.1125,0.3875,0.125,0.375,0.012500000000000011
